facet_raw,facet_normalized,category,conversation_observable,sensitivity,abstention_reason,scoring_anchors
Multiculturalism,Multiculturalism,personality_trait,True,low,,"1=Very low Multiculturalism, or the opposite trait is expressed; 3=Moderate/average Multiculturalism; 5=Very high Multiculturalism clearly expressed in the conversation."
Creative risk-taking tendency,Creative risk-taking tendency,behavioral_tendency,True,low,,"1=No indication of Creative risk-taking tendency in what the person says or describes; 3=Occasional or moderate indication of Creative risk-taking tendency; 5=Strong, repeated indication of Creative risk-taking tendency in the described behavior."
Inefficiency,Inefficiency,personality_trait,True,low,,"1=Very low Inefficiency, or the opposite trait is expressed; 3=Moderate/average Inefficiency; 5=Very high Inefficiency clearly expressed in the conversation."
Network basics,Network basics,personality_trait,True,low,,"1=Very low Network basics, or the opposite trait is expressed; 3=Moderate/average Network basics; 5=Very high Network basics clearly expressed in the conversation."
Alphabetical filing skills,Alphabetical filing skills,personality_trait,True,low,,"1=Very low Alphabetical filing skills, or the opposite trait is expressed; 3=Moderate/average Alphabetical filing skills; 5=Very high Alphabetical filing skills clearly expressed in the conversation."
Work Styles,Work Styles,personality_trait,True,low,,"1=Very low Work Styles, or the opposite trait is expressed; 3=Moderate/average Work Styles; 5=Very high Work Styles clearly expressed in the conversation."
Character strength: Perseverance,Character strength: Perseverance,personality_trait,True,low,,"1=Very low Character strength: Perseverance, or the opposite trait is expressed; 3=Moderate/average Character strength: Perseverance; 5=Very high Character strength: Perseverance clearly expressed in the conversation."
Competition,Competition,personality_trait,True,low,,"1=Very low Competition, or the opposite trait is expressed; 3=Moderate/average Competition; 5=Very high Competition clearly expressed in the conversation."
Logical Sequence Identification,Logical Sequence Identification,personality_trait,True,low,,"1=Very low Logical Sequence Identification, or the opposite trait is expressed; 3=Moderate/average Logical Sequence Identification; 5=Very high Logical Sequence Identification clearly expressed in the conversation."
Sustainable-transport usage,Sustainable-transport usage,personality_trait,True,low,,"1=Very low Sustainable-transport usage, or the opposite trait is expressed; 3=Moderate/average Sustainable-transport usage; 5=Very high Sustainable-transport usage clearly expressed in the conversation."
Hardworking,Hardworking,personality_trait,True,low,,"1=Very low Hardworking, or the opposite trait is expressed; 3=Moderate/average Hardworking; 5=Very high Hardworking clearly expressed in the conversation."
Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,personality_trait,True,low,,"1=Very low Emotional-intelligence measure: Impulsiveness, or the opposite trait is expressed; 3=Moderate/average Emotional-intelligence measure: Impulsiveness; 5=Very high Emotional-intelligence measure: Impulsiveness clearly expressed in the conversation."
Dishonesty,Dishonesty,personality_trait,True,low,,"1=Very low Dishonesty, or the opposite trait is expressed; 3=Moderate/average Dishonesty; 5=Very high Dishonesty clearly expressed in the conversation."
Preferred epistemology,Preferred epistemology,personality_trait,True,low,,"1=Very low Preferred epistemology, or the opposite trait is expressed; 3=Moderate/average Preferred epistemology; 5=Very high Preferred epistemology clearly expressed in the conversation."
Memory for Sounds,Memory for Sounds,cognitive_ability,True,low,,"1=No evidence of Memory for Sounds in the conversation; 3=Average/typical evidence of Memory for Sounds; 5=Strong, clear evidence of high Memory for Sounds demonstrated in the person's reasoning or language."
Sportsmanship rating,Sportsmanship rating,personality_trait,True,low,,"1=Very low Sportsmanship rating, or the opposite trait is expressed; 3=Moderate/average Sportsmanship rating; 5=Very high Sportsmanship rating clearly expressed in the conversation."
Immaturity,Immaturity,personality_trait,True,low,,"1=Very low Immaturity, or the opposite trait is expressed; 3=Moderate/average Immaturity; 5=Very high Immaturity clearly expressed in the conversation."
Health-literacy level,Health-literacy level,personality_trait,True,low,,"1=Very low Health-literacy level, or the opposite trait is expressed; 3=Moderate/average Health-literacy level; 5=Very high Health-literacy level clearly expressed in the conversation."
Estimating Calculations,Estimating Calculations,personality_trait,True,low,,"1=Very low Estimating Calculations, or the opposite trait is expressed; 3=Moderate/average Estimating Calculations; 5=Very high Estimating Calculations clearly expressed in the conversation."
Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness,personality_trait,True,low,,"1=Very low Depression: Feelings of sadness and hopelessness, or the opposite trait is expressed; 3=Moderate/average Depression: Feelings of sadness and hopelessness; 5=Very high Depression: Feelings of sadness and hopelessness clearly expressed in the conversation."
Synthesis of information,Synthesis of information,personality_trait,True,low,,"1=Very low Synthesis of information, or the opposite trait is expressed; 3=Moderate/average Synthesis of information; 5=Very high Synthesis of information clearly expressed in the conversation."
Leadership Potential:,Leadership Potential,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Ethical standards,Ethical standards,personality_trait,True,low,,"1=Very low Ethical standards, or the opposite trait is expressed; 3=Moderate/average Ethical standards; 5=Very high Ethical standards clearly expressed in the conversation."
High-spiritedness,High-spiritedness,personality_trait,True,low,,"1=Very low High-spiritedness, or the opposite trait is expressed; 3=Moderate/average High-spiritedness; 5=Very high High-spiritedness clearly expressed in the conversation."
Critical reasoning,Critical reasoning,cognitive_ability,True,low,,"1=No evidence of Critical reasoning in the conversation; 3=Average/typical evidence of Critical reasoning; 5=Strong, clear evidence of high Critical reasoning demonstrated in the person's reasoning or language."
Sleep-disorder diagnosis,Sleep-disorder diagnosis,medical_biological,False,high,"Requires a clinical measurement, lab test, or diagnosis record; cannot be responsibly inferred from conversational text alone.",
Listening Skills Subcomponents:,Listening Skills Subcomponents,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Collaboration,Collaboration,personality_trait,True,low,,"1=Very low Collaboration, or the opposite trait is expressed; 3=Moderate/average Collaboration; 5=Very high Collaboration clearly expressed in the conversation."
Precision of Movements,Precision of Movements,personality_trait,True,low,,"1=Very low Precision of Movements, or the opposite trait is expressed; 3=Moderate/average Precision of Movements; 5=Very high Precision of Movements clearly expressed in the conversation."
Social Boldness,Social Boldness,personality_trait,True,low,,"1=Very low Social Boldness, or the opposite trait is expressed; 3=Moderate/average Social Boldness; 5=Very high Social Boldness clearly expressed in the conversation."
Auditory memory,Auditory memory,cognitive_ability,True,low,,"1=No evidence of Auditory memory in the conversation; 3=Average/typical evidence of Auditory memory; 5=Strong, clear evidence of high Auditory memory demonstrated in the person's reasoning or language."
Psychomotor Ability Subcomponents:,Psychomotor Ability Subcomponents,header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Organized lifestyle,Organized lifestyle,personality_trait,True,low,,"1=Very low Organized lifestyle, or the opposite trait is expressed; 3=Moderate/average Organized lifestyle; 5=Very high Organized lifestyle clearly expressed in the conversation."
Skill-endorsements count,Skill-endorsements count,social_demographic,False,low,"Requires a factual/demographic record (counts, logs, official data) rather than something inferable from conversational tone or content.",
Mysteriousness,Mysteriousness,personality_trait,True,low,,"1=Very low Mysteriousness, or the opposite trait is expressed; 3=Moderate/average Mysteriousness; 5=Very high Mysteriousness clearly expressed in the conversation."
Cultural Identity,Cultural Identity,personality_trait,True,low,,"1=Very low Cultural Identity, or the opposite trait is expressed; 3=Moderate/average Cultural Identity; 5=Very high Cultural Identity clearly expressed in the conversation."
Intrinsic Motivation,Intrinsic Motivation,personality_trait,True,low,,"1=Very low Intrinsic Motivation, or the opposite trait is expressed; 3=Moderate/average Intrinsic Motivation; 5=Very high Intrinsic Motivation clearly expressed in the conversation."
Impartial-mindedness,Impartial-mindedness,personality_trait,True,low,,"1=Very low Impartial-mindedness, or the opposite trait is expressed; 3=Moderate/average Impartial-mindedness; 5=Very high Impartial-mindedness clearly expressed in the conversation."
Burnout Symptoms,Burnout Symptoms,personality_trait,True,low,,"1=Very low Burnout Symptoms, or the opposite trait is expressed; 3=Moderate/average Burnout Symptoms; 5=Very high Burnout Symptoms clearly expressed in the conversation."
Holiness,Holiness,personality_trait,True,low,,"1=Very low Holiness, or the opposite trait is expressed; 3=Moderate/average Holiness; 5=Very high Holiness clearly expressed in the conversation."
Selfcontrol,Selfcontrol,personality_trait,True,low,,"1=Very low Selfcontrol, or the opposite trait is expressed; 3=Moderate/average Selfcontrol; 5=Very high Selfcontrol clearly expressed in the conversation."
SelfDirectedness,SelfDirectedness,personality_trait,True,low,,"1=Very low SelfDirectedness, or the opposite trait is expressed; 3=Moderate/average SelfDirectedness; 5=Very high SelfDirectedness clearly expressed in the conversation."
Encouraging participation,Encouraging participation,personality_trait,True,low,,"1=Very low Encouraging participation, or the opposite trait is expressed; 3=Moderate/average Encouraging participation; 5=Very high Encouraging participation clearly expressed in the conversation."
Impracticalness,Impracticalness,personality_trait,True,low,,"1=Very low Impracticalness, or the opposite trait is expressed; 3=Moderate/average Impracticalness; 5=Very high Impracticalness clearly expressed in the conversation."
Meeting Deadlines,Meeting Deadlines,personality_trait,True,low,,"1=Very low Meeting Deadlines, or the opposite trait is expressed; 3=Moderate/average Meeting Deadlines; 5=Very high Meeting Deadlines clearly expressed in the conversation."
Data Analysis,Data Analysis,personality_trait,True,low,,"1=Very low Data Analysis, or the opposite trait is expressed; 3=Moderate/average Data Analysis; 5=Very high Data Analysis clearly expressed in the conversation."
Social Interaction Skills,Social Interaction Skills,personality_trait,True,low,,"1=Very low Social Interaction Skills, or the opposite trait is expressed; 3=Moderate/average Social Interaction Skills; 5=Very high Social Interaction Skills clearly expressed in the conversation."
Psychoticism,Psychoticism,personality_trait,True,low,,"1=Very low Psychoticism, or the opposite trait is expressed; 3=Moderate/average Psychoticism; 5=Very high Psychoticism clearly expressed in the conversation."
Ethical leadership rating,Ethical leadership rating,personality_trait,True,low,,"1=Very low Ethical leadership rating, or the opposite trait is expressed; 3=Moderate/average Ethical leadership rating; 5=Very high Ethical leadership rating clearly expressed in the conversation."
Slothfulness,Slothfulness,personality_trait,True,low,,"1=Very low Slothfulness, or the opposite trait is expressed; 3=Moderate/average Slothfulness; 5=Very high Slothfulness clearly expressed in the conversation."
Happiness,Happiness,personality_trait,True,low,,"1=Very low Happiness, or the opposite trait is expressed; 3=Moderate/average Happiness; 5=Very high Happiness clearly expressed in the conversation."
Contentment Levels,Contentment Levels,personality_trait,True,low,,"1=Very low Contentment Levels, or the opposite trait is expressed; 3=Moderate/average Contentment Levels; 5=Very high Contentment Levels clearly expressed in the conversation."
Neuroticism,Neuroticism,personality_trait,True,low,,"1=Very low Neuroticism, or the opposite trait is expressed; 3=Moderate/average Neuroticism; 5=Very high Neuroticism clearly expressed in the conversation."
Desire for excellence,Desire for excellence,personality_trait,True,low,,"1=Very low Desire for excellence, or the opposite trait is expressed; 3=Moderate/average Desire for excellence; 5=Very high Desire for excellence clearly expressed in the conversation."
Perceiving,Perceiving,personality_trait,True,low,,"1=Very low Perceiving, or the opposite trait is expressed; 3=Moderate/average Perceiving; 5=Very high Perceiving clearly expressed in the conversation."
Liberalism,Liberalism,personality_trait,True,low,,"1=Very low Liberalism, or the opposite trait is expressed; 3=Moderate/average Liberalism; 5=Very high Liberalism clearly expressed in the conversation."
Inversion comfort level,Inversion comfort level,personality_trait,True,low,,"1=Very low Inversion comfort level, or the opposite trait is expressed; 3=Moderate/average Inversion comfort level; 5=Very high Inversion comfort level clearly expressed in the conversation."
Affection,Affection,personality_trait,True,low,,"1=Very low Affection, or the opposite trait is expressed; 3=Moderate/average Affection; 5=Very high Affection clearly expressed in the conversation."
Numeric Filing Skills,Numeric Filing Skills,personality_trait,True,low,,"1=Very low Numeric Filing Skills, or the opposite trait is expressed; 3=Moderate/average Numeric Filing Skills; 5=Very high Numeric Filing Skills clearly expressed in the conversation."
Martyrdom,Martyrdom,personality_trait,True,low,,"1=Very low Martyrdom, or the opposite trait is expressed; 3=Moderate/average Martyrdom; 5=Very high Martyrdom clearly expressed in the conversation."
Parathyroid-hormone level,Parathyroid-hormone level,medical_biological,False,high,"Requires a clinical measurement, lab test, or diagnosis record; cannot be responsibly inferred from conversational text alone.",
Seeking approval,Seeking approval,personality_trait,True,low,,"1=Very low Seeking approval, or the opposite trait is expressed; 3=Moderate/average Seeking approval; 5=Very high Seeking approval clearly expressed in the conversation."
Judging (J):,Judging (J),header_or_malformed,False,low,"This row is a CSV formatting artifact (category header, categorical label, or malformed entry), not a scorable 1-5 trait.",
Big Five facet Openness – Artistic Interests,Big Five facet Openness – Artistic Interests,personality_trait,True,low,,"1=Very low Big Five facet Openness – Artistic Interests, or the opposite trait is expressed; 3=Moderate/average Big Five facet Openness – Artistic Interests; 5=Very high Big Five facet Openness – Artistic Interests clearly expressed in the conversation."
Psychological construct: Operant-Learning rate,Psychological construct: Operant-Learning rate,personality_trait,True,low,,"1=Very low Psychological construct: Operant-Learning rate, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Operant-Learning rate; 5=Very high Psychological construct: Operant-Learning rate clearly expressed in the conversation."
Psychological construct: Need for Achievement level,Psychological construct: Need for Achievement level,personality_trait,True,low,,"1=Very low Psychological construct: Need for Achievement level, or the opposite trait is expressed; 3=Moderate/average Psychological construct: Need for Achievement level; 5=Very high Psychological construct: Need for Achievement level clearly expressed in the conversation."
Cantankerousness,Cantankerousness,personality_trait,True,low,,"1=Very low Cantankerousness, or the opposite trait is expressed; 3=Moderate/average Cantankerousness; 5=Very high Cantankerousness clearly expressed in the conversation."
Material properties knowledge,Material properties knowledge,personality_trait,True,low,,"1=Very low Material properties knowledge, or the opposite trait is expressed; 3=Moderate/average Material properties knowledge; 5=Very high Material properties knowledge clearly expressed in the conversation."
Hostility,Hostility,personality_trait,True,low,,"1=Very low Hostility, or the opposite trait is expressed; 3=Moderate/average Hostility; 5=Very high Hostility clearly expressed in the conversation."
Independence,Independence,personality_trait,True,low,,"1=Very low Independence, or the opposite trait is expressed; 3=Moderate/average Independence; 5=Very high Independence clearly expressed in the conversation."
800. Sufi practice: Sufi retreat attendance count,Sufi practice: Sufi retreat attendance count,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Chromatin-accessibility score,Chromatin-accessibility score,personality_trait,True,low,,"1=Very low Chromatin-accessibility score, or the opposite trait is expressed; 3=Moderate/average Chromatin-accessibility score; 5=Very high Chromatin-accessibility score clearly expressed in the conversation."
644. Spiritual virtue: Humility practice index,Spiritual virtue: Humility practice index,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
754. I Ching hexagram 36 resonance level,I Ching hexagram 36 resonance level,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
Well-being component: Engagement,Well-being component: Engagement,personality_trait,True,low,,"1=Very low Well-being component: Engagement, or the opposite trait is expressed; 3=Moderate/average Well-being component: Engagement; 5=Very high Well-being component: Engagement clearly expressed in the conversation."
Need for social interaction,Need for social interaction,personality_trait,True,low,,"1=Very low Need for social interaction, or the opposite trait is expressed; 3=Moderate/average Need for social interaction; 5=Very high Need for social interaction clearly expressed in the conversation."
Peer-collaboration hours,Peer-collaboration hours,personality_trait,True,low,,"1=Very low Peer-collaboration hours, or the opposite trait is expressed; 3=Moderate/average Peer-collaboration hours; 5=Very high Peer-collaboration hours clearly expressed in the conversation."
Arts and Humanities,Arts and Humanities,personality_trait,True,low,,"1=Very low Arts and Humanities, or the opposite trait is expressed; 3=Moderate/average Arts and Humanities; 5=Very high Arts and Humanities clearly expressed in the conversation."
596. Religious practice: Quran khatam cycles per year,Religious practice: Quran khatam cycles per year,personality_trait,True,low,,"1=Very low Religious practice: Quran khatam cycles per year, or the opposite trait is expressed; 3=Moderate/average Religious practice: Quran khatam cycles per year; 5=Very high Religious practice: Quran khatam cycles per year clearly expressed in the conversation."
926. Bahá’í spiritual metric: Ridván festival participation,Bahá’í spiritual metric: Ridván festival participation,spiritual_esoteric,False,medium,"Requires self-reported practice history/records (e.g. session counts, ritual frequency) that a short conversation cannot reliably establish.",
